lead_id,source,campaign,region,role,prior_course_interest,page_views,last_touch_days,recency_days,email_opens,webinar_attended,form_submissions,prior_purchases,region_engagement_score,time_spent_minutes,label_conversion,label_class
LEAD-100221,LinkedIn,Summer2025,Australia,Manager,Machine Learning; Data Science,36,10,20,7,Yes,0,0,80.41,33,1,Hot
LEAD-100137,Organic,Summer2025,North America,VP,Leadership; Machine Learning; Strategy,26,2,9,3,Yes,3,2,88.31,107,1,Warm
LEAD-100368,Google Ads,Summer2025,Asia,VP,Machine Learning,22,0,17,8,Yes,3,1,50.62,193,1,Cold
LEAD-101021,Organic,Spring2025,Australia,Manager,Machine Learning; Data Science; Leadership,24,16,11,2,No,4,0,45.4,181,0,Warm
LEAD-100251,Google Ads,Spring2025,Asia,Manager,Strategy; Marketing,27,1,8,7,No,2,2,87.04,277,1,Hot
LEAD-100750,Referral,Webinar2025,Australia,VP,Data Science; Strategy,13,0,20,3,Yes,1,3,99.37,29,1,Hot
LEAD-101287,Organic,Summer2025,Australia,Intern,Strategy; Data Science,16,11,1,0,No,2,0,69.74,244,0,Cold
LEAD-101314,Google Ads,Spring2025,Asia,Director,Marketing; Data Science,23,7,21,3,No,1,1,69.4,32,0,Warm
LEAD-100252,Google Ads,Spring2025,Australia,Director,Marketing,33,2,4,6,Yes,5,3,89.94,122,1,Warm
LEAD-100229,Google Ads,Webinar2025,Asia,Manager,Data Science,20,3,9,3,Yes,1,3,58.94,177,1,Hot
LEAD-101941,Facebook,Webinar2025,Asia,Director,Data Science; Leadership,16,10,23,2,No,4,1,50.51,176,0,Cold
LEAD-100967,Facebook,Spring2025,Australia,Manager,Data Science,15,6,30,1,No,5,1,49.74,19,0,Cold
LEAD-100969,Organic,Spring2025,Europe,Intern,Data Science,31,18,27,2,Yes,5,0,51.85,123,0,Cold
LEAD-100933,LinkedIn,Summer2025,Asia,Manager,Data Science; Strategy; Machine Learning,12,17,13,1,Yes,0,1,26.29,78,0,Hot
LEAD-101420,Organic,Summer2025,Australia,Manager,Leadership; Strategy,16,15,18,2,No,3,1,16.42,153,0,Warm
LEAD-100936,LinkedIn,Summer2025,Asia,Director,Strategy; Data Science,26,16,26,0,No,0,1,65.95,296,0,Cold
LEAD-100762,Referral,Summer2025,North America,Manager,Data Science,30,9,25,7,No,5,0,95.87,114,1,Warm
LEAD-100999,Organic,Webinar2025,North America,Intern,Data Science; Marketing,3,18,12,7,No,2,0,77.22,189,0,Cold
LEAD-101885,Organic,Spring2025,North America,Analyst,Marketing; Machine Learning; Data Science,9,12,12,5,Yes,3,0,40.22,147,0,Hot
LEAD-101572,Organic,Summer2025,Australia,Analyst,Strategy; Leadership; Marketing,29,19,14,2,Yes,1,0,54.64,74,0,Hot
LEAD-101893,Facebook,Spring2025,North America,VP,Machine Learning,11,9,12,2,Yes,1,1,78.38,284,0,Cold
LEAD-101110,Organic,Webinar2025,Australia,VP,Marketing; Machine Learning,25,8,8,5,Yes,0,1,38.01,156,0,Warm
LEAD-101235,LinkedIn,Spring2025,North America,VP,Strategy; Data Science; Marketing,10,10,27,4,Yes,1,0,62.82,208,0,Cold
LEAD-101815,LinkedIn,Spring2025,Australia,Analyst,Machine Learning; Data Science,14,13,15,7,Yes,5,0,58.13,90,0,Cold
LEAD-100859,LinkedIn,Summer2025,North America,Manager,Data Science; Leadership; Strategy,15,13,22,5,No,2,0,47.13,139,0,Warm
LEAD-100197,Google Ads,Summer2025,North America,VP,Leadership; Strategy,32,9,8,9,No,5,3,54.0,269,1,Hot
LEAD-101535,Google Ads,Webinar2025,North America,Intern,Marketing,8,7,29,1,Yes,0,1,48.37,234,0,Warm
LEAD-100604,Google Ads,Spring2025,Australia,Analyst,Data Science; Leadership,32,2,25,7,No,2,2,50.1,210,1,Hot
LEAD-100650,Referral,Webinar2025,Asia,Manager,Leadership; Strategy; Marketing,15,1,21,10,Yes,1,2,60.42,12,1,Warm
LEAD-100852,Google Ads,Summer2025,Asia,Director,Machine Learning,9,20,28,6,No,0,0,30.91,77,0,Cold
LEAD-101674,Facebook,Summer2025,Europe,Director,Machine Learning; Leadership; Strategy,28,17,4,5,No,3,1,73.83,193,0,Cold
LEAD-100509,Facebook,Summer2025,North America,Intern,Leadership; Strategy; Marketing,17,9,14,6,No,5,0,85.95,226,1,Hot
LEAD-100282,Google Ads,Summer2025,Australia,Director,Data Science; Machine Learning,23,7,25,11,No,4,0,96.42,72,1,Cold
LEAD-100552,Facebook,Webinar2025,Asia,Manager,Marketing; Data Science; Machine Learning,30,7,27,12,No,4,2,72.48,204,1,Hot
LEAD-100133,Google Ads,Spring2025,Europe,VP,Marketing; Data Science,31,7,1,2,No,4,0,55.32,15,1,Cold
LEAD-100219,Organic,Spring2025,Australia,Manager,Leadership; Strategy; Data Science,23,8,23,9,No,2,2,90.49,26,1,Hot
LEAD-100111,Referral,Summer2025,Australia,Director,Data Science; Machine Learning; Leadership,27,8,16,4,Yes,2,0,62.93,102,1,Hot
LEAD-100576,Google Ads,Summer2025,Australia,Intern,Marketing,41,5,15,4,Yes,3,3,100.97,234,1,Hot
LEAD-100698,Organic,Summer2025,Australia,Manager,Strategy; Machine Learning,13,0,23,8,Yes,5,0,95.0,5,1,Hot
LEAD-101922,Organic,Summer2025,Europe,Analyst,Leadership; Marketing; Data Science,13,13,0,-1,No,0,0,30.21,102,0,Cold
LEAD-100669,LinkedIn,Spring2025,North America,Analyst,Strategy; Data Science,19,5,29,10,No,3,3,91.66,256,1,Hot
LEAD-101687,Facebook,Spring2025,Asia,Intern,Marketing; Leadership,21,7,30,7,No,2,0,27.89,94,0,Cold
LEAD-100804,Organic,Summer2025,Australia,Analyst,Machine Learning; Marketing,14,12,2,5,No,4,1,64.83,172,0,Warm
LEAD-101750,Google Ads,Spring2025,Australia,Analyst,Machine Learning; Data Science,30,7,19,5,Yes,2,1,64.79,283,0,Cold
LEAD-101435,Referral,Webinar2025,Europe,Intern,Strategy,11,20,29,-1,No,5,0,41.67,210,0,Hot
LEAD-101522,Facebook,Webinar2025,North America,VP,Machine Learning,21,17,11,0,Yes,4,1,56.62,283,0,Cold
LEAD-101210,Google Ads,Summer2025,Australia,Analyst,Data Science; Leadership,19,8,21,7,No,4,0,16.48,44,0,Warm
LEAD-101543,Organic,Summer2025,North America,Director,Machine Learning,23,8,23,7,No,3,1,64.84,228,0,Cold
LEAD-100017,Facebook,Spring2025,North America,Analyst,Data Science; Machine Learning; Leadership,31,1,5,9,Yes,4,0,68.49,164,1,Cold
LEAD-100213,Referral,Spring2025,Australia,Manager,Marketing,36,3,19,8,Yes,0,0,87.06,276,1,Hot
LEAD-101639,Organic,Spring2025,Asia,Director,Strategy,6,18,28,6,Yes,5,0,31.2,79,0,Cold
LEAD-101801,Organic,Summer2025,Australia,Intern,Strategy; Data Science,25,16,5,3,No,4,1,50.55,24,0,Cold
LEAD-100554,LinkedIn,Webinar2025,North America,Intern,Data Science; Leadership,38,5,14,12,No,3,1,73.59,226,1,Hot
LEAD-101553,Referral,Summer2025,North America,Director,Marketing; Strategy,15,15,13,5,No,3,1,36.77,197,0,Warm
LEAD-101227,Referral,Summer2025,Europe,Manager,Strategy,2,11,16,4,No,0,0,62.62,276,0,Cold
LEAD-100703,Facebook,Webinar2025,Europe,Director,Leadership,39,2,13,6,No,0,2,91.56,195,1,Hot
LEAD-100293,Organic,Webinar2025,Europe,Manager,Data Science,26,0,28,12,Yes,5,2,99.5,238,1,Hot
LEAD-100467,LinkedIn,Webinar2025,Europe,Director,Machine Learning,25,1,27,5,Yes,1,1,76.28,227,1,Warm
LEAD-100374,Facebook,Summer2025,North America,VP,Strategy; Leadership,28,5,27,12,Yes,4,3,77.21,143,1,Hot
LEAD-100938,Referral,Spring2025,Australia,VP,Marketing; Machine Learning; Data Science,6,17,10,5,No,4,1,62.49,121,0,Hot
LEAD-100544,Google Ads,Spring2025,Europe,Analyst,Marketing,17,5,0,7,Yes,5,3,62.3,191,1,Warm
LEAD-101826,Referral,Spring2025,Europe,Intern,Data Science; Strategy; Leadership,25,7,19,0,Yes,3,0,24.3,157,0,Warm
LEAD-101867,Google Ads,Webinar2025,Asia,VP,Data Science,7,10,15,0,No,2,0,37.87,115,0,Cold
LEAD-101914,Referral,Webinar2025,Asia,VP,Marketing; Strategy,17,18,11,9,Yes,4,0,26.29,165,0,Cold
LEAD-101814,Referral,Summer2025,Europe,Manager,Leadership,12,10,30,5,No,5,1,74.89,248,0,Cold
LEAD-100149,Facebook,Spring2025,Australia,Director,Strategy; Leadership; Marketing,27,4,26,7,No,3,3,55.8,240,1,Hot
LEAD-100055,Facebook,Spring2025,Europe,Manager,Leadership,25,1,24,11,Yes,3,2,100.95,158,1,Cold
LEAD-100890,Referral,Summer2025,Asia,VP,Machine Learning; Strategy; Marketing,19,10,9,1,No,1,1,72.82,295,0,Cold
LEAD-100270,Organic,Webinar2025,Asia,VP,Leadership; Data Science,24,7,21,12,Yes,1,0,63.83,267,1,Hot
LEAD-101598,Organic,Spring2025,Europe,Director,Data Science; Machine Learning; Marketing,14,12,6,1,No,3,1,49.06,77,0,Warm
LEAD-101131,LinkedIn,Spring2025,Australia,VP,Leadership; Machine Learning; Data Science,24,7,7,8,No,1,0,52.35,239,0,Cold
LEAD-100324,LinkedIn,Webinar2025,Australia,Manager,Leadership; Marketing; Machine Learning,20,5,21,9,No,5,0,60.39,40,1,Hot
LEAD-101526,Referral,Spring2025,North America,Manager,Marketing; Strategy,9,11,8,7,Yes,3,0,51.06,94,0,Hot
LEAD-100273,Google Ads,Spring2025,Asia,VP,Data Science; Machine Learning; Leadership,13,0,17,10,No,3,0,81.74,74,1,Hot
LEAD-101740,Google Ads,Spring2025,Australia,Director,Leadership; Strategy; Data Science,23,11,6,5,Yes,0,1,77.86,137,0,Cold
LEAD-101559,Referral,Summer2025,Europe,Analyst,Data Science; Machine Learning; Marketing,23,11,5,3,No,2,0,11.44,145,0,Warm
LEAD-101395,LinkedIn,Spring2025,Europe,Intern,Marketing,18,13,10,3,No,3,0,41.43,291,0,Warm
LEAD-100549,LinkedIn,Spring2025,Australia,Manager,Leadership; Strategy; Data Science,17,10,26,5,No,0,0,51.47,172,1,Hot
LEAD-101109,Organic,Summer2025,Asia,VP,Machine Learning; Marketing,28,9,13,8,No,4,1,33.07,50,0,Cold
LEAD-101429,Organic,Webinar2025,Europe,Analyst,Leadership; Data Science; Strategy,23,7,19,6,No,0,1,72.73,184,0,Cold
LEAD-101528,Google Ads,Spring2025,Europe,Intern,Machine Learning; Strategy,20,12,8,0,No,5,1,52.08,84,0,Hot
LEAD-101012,LinkedIn,Summer2025,Australia,Manager,Machine Learning,12,9,15,0,Yes,2,0,54.54,88,0,Cold
LEAD-100071,Organic,Spring2025,Europe,VP,Leadership,37,5,2,7,No,1,1,103.96,168,1,Hot
LEAD-100695,Facebook,Summer2025,Asia,Intern,Leadership; Strategy; Data Science,33,9,26,4,Yes,4,2,55.06,153,1,Hot
LEAD-101779,Facebook,Webinar2025,North America,Manager,Marketing,21,7,22,0,Yes,0,0,46.69,11,0,Warm
LEAD-101024,Referral,Spring2025,Europe,Manager,Machine Learning; Marketing,25,17,0,5,Yes,5,1,49.89,54,0,Cold
LEAD-100918,Google Ads,Spring2025,Europe,VP,Leadership; Strategy,13,8,20,4,Yes,1,0,65.85,51,0,Cold
LEAD-101647,LinkedIn,Summer2025,North America,Director,Machine Learning; Data Science,11,18,6,5,Yes,1,0,68.59,252,0,Cold
LEAD-100829,Facebook,Spring2025,North America,Manager,Leadership; Machine Learning; Strategy,26,15,26,1,No,5,0,16.27,63,0,Cold
LEAD-100920,LinkedIn,Spring2025,Asia,VP,Machine Learning; Marketing; Data Science,17,6,14,1,No,4,1,31.3,252,0,Cold
LEAD-101955,Organic,Webinar2025,Europe,Director,Strategy,17,6,2,9,No,0,0,60.98,113,0,Cold
LEAD-101799,Google Ads,Webinar2025,North America,Director,Strategy; Marketing; Machine Learning,7,14,22,3,Yes,0,0,25.93,97,0,Cold
LEAD-100953,Organic,Webinar2025,Australia,Director,Leadership,18,19,17,1,Yes,5,1,48.78,18,0,Warm
LEAD-100888,LinkedIn,Spring2025,Europe,VP,Machine Learning; Marketing; Data Science,12,6,11,6,Yes,4,1,62.85,16,0,Cold
LEAD-101128,Google Ads,Spring2025,Asia,Director,Marketing,11,10,19,4,Yes,0,1,22.65,258,0,Cold
LEAD-100000,Facebook,Spring2025,Australia,Manager,Strategy; Leadership; Data Science,31,0,16,1,Yes,0,1,90.06,76,1,Hot
LEAD-100438,Organic,Summer2025,Europe,VP,Strategy; Data Science; Machine Learning,24,8,13,8,No,2,3,53.28,271,1,Warm
LEAD-100524,Referral,Webinar2025,North America,Manager,Strategy; Marketing,35,5,15,9,Yes,2,3,96.16,247,1,Hot
LEAD-101749,Referral,Summer2025,Asia,Analyst,Strategy; Data Science,6,7,0,7,No,1,1,39.6,71,0,Cold
LEAD-100223,LinkedIn,Spring2025,Asia,VP,Machine Learning; Data Science,19,2,24,6,Yes,3,0,81.84,73,1,Hot
LEAD-101086,Referral,Spring2025,Australia,VP,Strategy; Data Science,12,17,13,2,Yes,2,1,70.52,15,0,Cold
LEAD-100104,LinkedIn,Webinar2025,Europe,Analyst,Data Science; Strategy,26,9,8,10,Yes,1,3,85.2,124,1,Warm
LEAD-100559,Facebook,Webinar2025,Europe,Intern,Strategy; Marketing; Machine Learning,17,4,17,9,Yes,2,1,55.65,266,1,Hot
LEAD-101080,LinkedIn,Summer2025,Australia,VP,Leadership; Data Science; Strategy,17,7,14,2,Yes,1,1,23.09,195,0,Warm
LEAD-101040,Referral,Summer2025,Australia,Director,Strategy,17,10,6,6,Yes,0,0,45.84,181,0,Warm
LEAD-100897,Google Ads,Spring2025,North America,VP,Data Science; Leadership,7,8,0,7,Yes,0,1,41.66,222,0,Cold
LEAD-101098,Facebook,Spring2025,Australia,Manager,Data Science; Machine Learning; Strategy,30,17,17,0,Yes,4,0,70.88,240,0,Cold
LEAD-100771,Google Ads,Spring2025,Asia,Manager,Machine Learning; Leadership,17,9,7,7,No,2,0,97.48,145,1,Warm
LEAD-101645,LinkedIn,Spring2025,Asia,Intern,Machine Learning; Strategy,17,10,21,0,No,4,0,38.19,279,0,Warm
LEAD-101373,Referral,Spring2025,North America,Director,Data Science,9,17,13,7,No,0,0,67.07,187,0,Hot
LEAD-100445,Facebook,Summer2025,North America,Manager,Marketing; Data Science,14,0,28,10,Yes,1,2,82.4,69,1,Hot
LEAD-100874,Facebook,Webinar2025,Europe,Manager,Machine Learning; Strategy; Leadership,11,9,2,6,Yes,5,0,42.76,29,0,Hot
LEAD-100066,Google Ads,Summer2025,North America,Analyst,Data Science; Machine Learning,32,2,22,3,No,1,3,82.1,39,1,Cold
LEAD-100729,Organic,Spring2025,Europe,Manager,Machine Learning,19,1,26,2,Yes,3,3,94.89,45,1,Warm
LEAD-101058,LinkedIn,Webinar2025,Australia,Director,Machine Learning; Marketing,7,9,2,4,No,3,0,42.84,100,0,Cold
LEAD-100090,Organic,Spring2025,Asia,Analyst,Machine Learning,12,7,1,4,Yes,2,3,53.11,141,1,Hot
LEAD-100839,LinkedIn,Webinar2025,North America,Manager,Data Science; Leadership,11,12,2,0,Yes,1,1,50.61,286,0,Cold
LEAD-100791,Referral,Spring2025,Europe,VP,Machine Learning; Strategy,26,6,16,8,Yes,1,3,56.3,271,1,Hot
LEAD-100422,LinkedIn,Summer2025,Europe,Manager,Leadership; Machine Learning; Strategy,15,6,18,12,Yes,1,1,92.96,124,1,Warm
LEAD-100196,Referral,Webinar2025,North America,Manager,Strategy,13,10,29,8,No,5,0,75.59,299,1,Hot
LEAD-101048,Referral,Webinar2025,North America,Intern,Data Science; Machine Learning; Leadership,11,11,15,8,No,3,0,38.13,92,0,Cold
LEAD-100504,LinkedIn,Webinar2025,Europe,Director,Data Science,22,9,25,10,Yes,2,0,92.02,145,1,Warm
LEAD-100886,Organic,Webinar2025,Australia,VP,Marketing,18,9,19,2,Yes,0,0,58.91,49,0,Cold
LEAD-101353,Google Ads,Summer2025,Australia,Analyst,Strategy; Data Science,7,9,4,0,Yes,1,1,75.54,71,0,Cold
LEAD-100654,Google Ads,Webinar2025,North America,VP,Marketing; Leadership,32,9,30,11,Yes,5,3,56.83,57,1,Cold
LEAD-100479,Facebook,Webinar2025,North America,Manager,Data Science; Leadership; Strategy,20,1,24,5,Yes,4,0,50.92,123,1,Hot
LEAD-101060,Facebook,Summer2025,Asia,Intern,Strategy; Data Science; Leadership,24,14,12,2,No,3,0,29.68,191,0,Hot
LEAD-100955,LinkedIn,Spring2025,Australia,VP,Machine Learning; Data Science; Leadership,11,6,17,0,Yes,4,1,58.4,99,0,Warm
LEAD-100945,Referral,Webinar2025,Asia,Intern,Marketing,22,11,19,5,No,1,0,47.37,197,0,Cold
LEAD-101376,Referral,Summer2025,Australia,VP,Strategy; Data Science; Leadership,29,14,22,2,Yes,2,0,25.6,102,0,Warm
LEAD-101684,LinkedIn,Spring2025,Asia,Analyst,Marketing; Leadership; Data Science,2,17,22,1,No,5,0,44.01,222,0,Cold
LEAD-101127,Organic,Webinar2025,Asia,Intern,Leadership; Data Science; Marketing,6,16,17,2,Yes,4,1,28.97,192,0,Cold
LEAD-100607,Referral,Summer2025,Australia,VP,Machine Learning,14,10,28,9,Yes,3,0,78.42,197,1,Warm
LEAD-100099,Organic,Spring2025,Europe,VP,Strategy; Leadership; Machine Learning,30,2,30,4,No,1,3,60.94,182,1,Hot
LEAD-101699,LinkedIn,Spring2025,North America,Analyst,Leadership; Marketing,5,18,14,8,Yes,1,1,29.44,98,0,Cold
LEAD-101213,LinkedIn,Spring2025,North America,Manager,Leadership,33,15,12,7,No,0,0,58.76,71,0,Cold
LEAD-100037,LinkedIn,Spring2025,North America,VP,Leadership; Data Science,17,3,10,11,Yes,5,1,83.95,262,1,Hot
LEAD-101417,Organic,Summer2025,Europe,Manager,Leadership; Marketing,7,14,21,5,No,2,1,37.12,232,0,Warm
LEAD-101307,Facebook,Summer2025,North America,Manager,Machine Learning,16,11,2,4,No,0,0,69.28,87,0,Cold
LEAD-101204,Referral,Webinar2025,Asia,Manager,Marketing; Strategy,16,6,1,2,Yes,5,1,35.26,36,0,Cold
LEAD-100944,LinkedIn,Webinar2025,Europe,Manager,Marketing; Data Science; Strategy,22,11,12,4,No,3,1,59.05,154,0,Cold
LEAD-100569,Facebook,Summer2025,Europe,Analyst,Strategy; Data Science; Marketing,34,0,3,4,No,0,3,53.66,256,1,Warm
LEAD-101151,Organic,Spring2025,Asia,Director,Strategy; Machine Learning,18,5,24,10,Yes,3,1,22.48,176,0,Hot
LEAD-100722,Google Ads,Summer2025,Asia,Manager,Data Science; Machine Learning; Marketing,14,0,13,9,Yes,3,3,54.02,74,1,Hot
LEAD-100867,Organic,Summer2025,Australia,VP,Leadership; Marketing,27,11,1,1,No,0,1,62.95,76,0,Hot
LEAD-100540,Google Ads,Spring2025,Asia,Analyst,Leadership; Marketing,38,2,9,4,No,1,3,63.67,45,1,Hot
LEAD-100391,Referral,Spring2025,Asia,VP,Data Science,31,3,14,10,No,2,1,67.44,106,1,Hot
LEAD-101822,Organic,Webinar2025,Australia,Analyst,Leadership,27,16,16,7,Yes,4,0,65.57,120,0,Cold
LEAD-100306,Facebook,Summer2025,Asia,VP,Data Science; Marketing; Machine Learning,19,3,25,7,Yes,1,3,54.36,80,1,Cold
LEAD-101718,Organic,Webinar2025,North America,Director,Marketing,21,11,21,5,No,2,0,25.67,224,0,Cold
LEAD-100763,LinkedIn,Spring2025,Australia,Intern,Strategy; Data Science,36,9,14,4,No,2,2,66.12,106,1,Warm
LEAD-101236,Google Ads,Summer2025,Australia,Director,Strategy; Machine Learning; Data Science,30,14,28,6,No,4,0,58.33,185,0,Cold
LEAD-100833,LinkedIn,Summer2025,North America,VP,Machine Learning; Strategy; Marketing,23,17,27,4,Yes,1,0,37.74,281,0,Cold
LEAD-101850,Organic,Summer2025,Australia,Intern,Marketing; Strategy; Data Science,23,9,26,3,No,4,0,55.05,148,0,Warm
LEAD-101556,LinkedIn,Webinar2025,North America,Intern,Leadership,12,18,23,0,No,5,1,28.96,222,0,Hot
LEAD-100776,Google Ads,Summer2025,Europe,Analyst,Leadership,28,10,17,6,No,5,1,90.16,162,1,Warm
LEAD-101116,Google Ads,Spring2025,Australia,Intern,Machine Learning; Marketing; Leadership,24,6,0,7,Yes,1,0,35.59,280,0,Warm
LEAD-101333,LinkedIn,Summer2025,Europe,Analyst,Leadership; Marketing,13,6,10,8,No,3,1,39.41,101,0,Cold
LEAD-100115,LinkedIn,Spring2025,Asia,Analyst,Marketing; Strategy; Data Science,15,2,12,9,Yes,5,0,79.7,124,1,Hot
LEAD-100653,LinkedIn,Webinar2025,Australia,Manager,Strategy; Data Science,23,2,16,10,No,2,1,60.71,203,1,Hot
LEAD-100597,LinkedIn,Webinar2025,Asia,Intern,Strategy; Marketing; Leadership,28,8,17,4,No,2,3,95.92,182,1,Hot
LEAD-101010,Referral,Webinar2025,Asia,Analyst,Strategy; Marketing; Data Science,29,14,12,2,No,2,1,22.57,186,0,Warm
LEAD-101020,Organic,Spring2025,North America,Director,Strategy; Data Science,9,5,5,3,No,4,0,23.24,190,0,Hot
LEAD-101819,Facebook,Webinar2025,Asia,VP,Machine Learning; Leadership; Data Science,17,18,24,1,No,1,1,39.49,277,0,Cold
LEAD-100124,Google Ads,Spring2025,Australia,VP,Leadership,35,8,0,2,Yes,3,0,75.63,274,1,Hot
LEAD-100332,Organic,Spring2025,North America,Director,Data Science; Marketing; Strategy,20,6,0,10,Yes,0,0,85.77,125,1,Hot
LEAD-101085,Facebook,Webinar2025,Asia,VP,Strategy; Leadership; Marketing,22,9,28,1,Yes,5,0,47.29,40,0,Cold
LEAD-101089,Google Ads,Spring2025,Asia,Director,Data Science; Strategy; Leadership,17,12,24,6,Yes,3,0,42.41,136,0,Cold
LEAD-101736,Organic,Summer2025,North America,Manager,Data Science; Marketing,33,8,1,2,Yes,5,1,50.17,193,0,Cold
LEAD-100349,Google Ads,Spring2025,Europe,Analyst,Leadership; Data Science; Strategy,30,5,9,5,No,2,0,109.99,13,1,Cold
LEAD-101758,Organic,Webinar2025,Australia,Analyst,Marketing,20,19,4,2,No,2,1,46.14,47,0,Cold
LEAD-101734,Referral,Webinar2025,Australia,Director,Strategy; Data Science,14,16,9,8,Yes,3,0,27.68,73,0,Hot
LEAD-101336,Facebook,Summer2025,North America,Manager,Strategy,27,16,3,2,No,2,1,37.88,87,0,Cold
LEAD-100256,Referral,Summer2025,Europe,Intern,Leadership,41,5,12,3,No,1,0,86.44,82,1,Hot
LEAD-101479,Google Ads,Webinar2025,Europe,Intern,Data Science,13,17,8,2,Yes,3,1,69.85,248,0,Cold
LEAD-101800,Facebook,Summer2025,Australia,VP,Machine Learning,11,12,6,6,Yes,3,0,73.71,249,0,Cold
LEAD-101461,LinkedIn,Webinar2025,Europe,Analyst,Marketing,8,7,3,4,Yes,5,1,31.11,245,0,Cold
LEAD-101546,Facebook,Webinar2025,Australia,Director,Data Science; Strategy,8,17,3,7,Yes,5,0,58.31,192,0,Cold
LEAD-100913,LinkedIn,Spring2025,North America,Intern,Leadership,11,5,1,9,No,4,1,38.49,78,0,Hot
LEAD-101111,Organic,Spring2025,Asia,VP,Leadership; Strategy; Data Science,27,14,22,0,No,5,1,33.82,249,0,Cold
LEAD-101141,Google Ads,Webinar2025,North America,Intern,Marketing; Data Science; Strategy,22,20,5,8,No,2,1,38.79,7,0,Cold
LEAD-101517,Facebook,Spring2025,Europe,Director,Leadership; Data Science,17,11,11,4,Yes,1,1,58.62,197,0,Cold
LEAD-101162,Google Ads,Summer2025,Australia,Manager,Machine Learning; Leadership; Strategy,19,7,0,6,Yes,0,1,27.01,45,0,Cold
LEAD-101345,Referral,Spring2025,Australia,Analyst,Machine Learning; Data Science; Strategy,26,13,27,7,No,2,1,33.48,296,0,Warm
LEAD-100008,Google Ads,Webinar2025,Asia,Analyst,Machine Learning; Strategy; Leadership,29,2,3,8,Yes,4,1,72.19,235,1,Hot
LEAD-100923,LinkedIn,Spring2025,North America,Manager,Marketing; Strategy,19,18,0,9,No,2,1,67.03,227,0,Cold
LEAD-101138,Organic,Summer2025,Asia,VP,Machine Learning; Strategy; Marketing,23,16,27,5,Yes,1,1,43.29,184,0,Cold
LEAD-100637,Referral,Webinar2025,Europe,Manager,Data Science,39,7,20,1,Yes,5,1,67.09,191,1,Cold
LEAD-101142,LinkedIn,Summer2025,Asia,VP,Marketing; Strategy; Data Science,21,15,5,5,Yes,1,0,30.9,215,0,Cold
LEAD-100281,Google Ads,Webinar2025,Europe,VP,Strategy; Leadership,33,3,29,5,Yes,2,0,73.31,39,1,Hot
LEAD-100323,Organic,Summer2025,Asia,Manager,Strategy,22,0,13,5,Yes,5,0,64.21,244,1,Hot
LEAD-101313,Organic,Spring2025,Europe,Director,Machine Learning; Marketing; Leadership,16,15,29,3,Yes,0,1,52.08,273,0,Cold
LEAD-101482,Facebook,Webinar2025,Asia,Manager,Machine Learning; Strategy,27,17,17,6,Yes,2,0,45.21,277,0,Cold
LEAD-101516,Google Ads,Spring2025,North America,Director,Leadership; Machine Learning,27,18,29,1,Yes,2,1,56.91,280,0,Hot
LEAD-100485,LinkedIn,Summer2025,Asia,Analyst,Strategy,32,7,3,7,Yes,3,2,75.73,270,1,Hot
LEAD-101094,Google Ads,Webinar2025,Australia,Intern,Strategy; Marketing,28,8,11,5,No,0,0,40.7,71,0,Cold
LEAD-101421,Google Ads,Spring2025,Australia,VP,Leadership; Marketing; Data Science,5,8,2,2,Yes,1,0,56.98,77,0,Cold
LEAD-100027,Organic,Webinar2025,Australia,Director,Machine Learning; Leadership,22,6,2,8,No,2,1,100.79,235,1,Warm
LEAD-101588,LinkedIn,Summer2025,Europe,Intern,Leadership; Strategy,30,10,25,2,No,1,0,58.45,7,0,Warm
LEAD-100806,LinkedIn,Summer2025,Europe,Director,Leadership; Strategy; Marketing,19,16,22,1,No,0,0,33.56,116,0,Warm
LEAD-101176,Facebook,Webinar2025,Europe,Manager,Marketing; Leadership,24,17,19,0,No,2,0,28.84,117,0,Cold
LEAD-101384,Referral,Spring2025,North America,Analyst,Data Science; Leadership; Machine Learning,15,8,26,6,No,0,0,68.1,180,0,Warm
LEAD-100741,Referral,Summer2025,Asia,Manager,Machine Learning; Data Science; Leadership,40,4,10,6,Yes,4,1,103.29,92,1,Hot
LEAD-100411,LinkedIn,Spring2025,Europe,Analyst,Marketing,33,1,20,11,No,2,1,73.77,156,1,Warm
LEAD-100103,LinkedIn,Spring2025,Asia,Analyst,Strategy,22,1,15,7,No,4,2,81.16,244,1,Cold
LEAD-101475,LinkedIn,Spring2025,Australia,Director,Strategy; Leadership; Machine Learning,16,20,18,2,No,3,1,67.8,44,0,Cold
LEAD-100412,Referral,Webinar2025,Australia,Analyst,Data Science; Leadership; Marketing,25,9,7,8,Yes,1,2,56.81,118,1,Warm
LEAD-100352,Referral,Webinar2025,Australia,Director,Strategy; Marketing,29,9,4,3,No,5,3,75.39,41,1,Hot
LEAD-100461,Organic,Spring2025,North America,VP,Machine Learning,37,4,16,7,Yes,3,2,77.17,85,1,Cold
LEAD-100972,Referral,Webinar2025,North America,Analyst,Data Science,6,7,10,1,No,1,0,29.37,275,0,Cold
LEAD-100189,Google Ads,Spring2025,Europe,Analyst,Strategy; Marketing,36,1,29,12,Yes,1,0,64.77,295,1,Hot
LEAD-100239,LinkedIn,Summer2025,Asia,Manager,Marketing,19,10,12,4,Yes,1,1,95.57,90,1,Warm
LEAD-100491,Organic,Summer2025,North America,Analyst,Leadership; Strategy; Marketing,19,1,0,10,Yes,4,1,64.15,108,1,Hot
